Henry Bonilla	http://www.ontheissues.org/TX/Henry_Bonilla.htm
David Bonior	http://www.ontheissues.org/MI/David_Bonior.htm
Jo Bonner	http://www.OnTheIssues.org/House/Jo_Bonner.htm
Mary Bono	http://www.ontheissues.org/CA/Mary_Bono.htm
Sonny Bono	http://www.ontheissues.org/CA/Sonny_Bono.htm
Robert Borski	http://www.ontheissues.org/PA/Robert_Borski.htm
Leonard Boswell	http://www.ontheissues.org/House/Leonard_Boswell.htm
Rick Boucher	http://www.ontheissues.org/VA/Rick_Boucher.htm
Carlton Bowen	http://www.issues2000.org/Carlton_Bowen.htm
Erskine Bowles	http://www.ontheissues.org/Senate/Erskine_Bowles.htm
Barbara Boxer	http://www.ontheissues.org/Senate/Barbara_Boxer.htm
Allen Boyd	http://www.ontheissues.org/FL/Allen_Boyd.htm
Bill Bradbury	http://www.issues2000.org/Bill_Bradbury.htm
Bill Bradley	http://www.ontheissues.org/Bill_Bradley.htm
Jeb Bradley	http://www.OnTheIssues.org/House/Jeb_Bradley.htm
Kevin Brady	http://www.ontheissues.org/TX/Kevin_Brady.htm
Robert Brady	http://www.ontheissues.org/PA/Robert_Brady.htm
John Breaux	http://www.ontheissues.org/Senate/John_Breaux.htm
Phil Bredesen	http://www.ontheissues.org/Phil_Bredesen.htm
Stephen Brewer	http://www.MassScorecard.org/MA_Senate/Stephen_Brewer.htm
Stephen Breyer	http://www.ontheissues.org/Stephen_Breyer.htm
Susan Brooks	http://www.ontheissues.org/CA/Susan_Brooks.htm
Corrine Brown	http://www.ontheissues.org/FL/Corrine_Brown.htm
George Brown	http://www.ontheissues.org/CA/George_Brown.htm
Hank Brown	http://www.ontheissues.org/Senate/Hank_Brown.htm
Henry Brown	http://www.ontheissues.org/House/Henry_Brown.htm
Sherrod Brown	http://www.ontheissues.org/OH/Sherrod_Brown.htm
Troy Brown	http://www.ontheissues.org/Senate2000/Troy_Brown.htm
Sam Brownback	http://www.ontheissues.org/Senate/Sam_Brownback.htm
Harry Browne	http://www.ontheissues.org/Harry_Browne.htm
Ginny Brown-Waite	http://www.OnTheIssues.org/FL/Ginny_Brown-Waite.htm
Richard Bryan	http://www.ontheissues.org/Senate/Richard_Bryan.htm
Ed Bryant	http://www.ontheissues.org/House/Ed_Bryant.htm
