Adam,Schiff,D,CA,29
Patrick,Tiberi,R,OH,12
Bill,Shuster,R,PA,9
Randy,Forbes,R,VA,4
Stephen,Lynch,D,MA,9
Jeff,Miller,R,FL,1
Joe,Wilson,R,SC,2
John,Sullivan,R,OK,1
Rodney,Alexander,R,LA,5
Rob,Bishop,R,UT,1
Tim,Bishop,D,NY,1
Marsha,Blackburn,R,TN,7
Jo,Bonner,R,AL,1
Michael,Burgess,R,TX,26
Dennis,Cardoza,D,CA,18
John,Carter,R,TX,31
Tom,Cole,R,OK,4
Mario,Diaz-Balart,R,FL,21
Trent,Franks,R,AZ,2
Scott,Garrett,R,NJ,5
Jim,Gerlach,R,PA,6
Phil,Gingrey,R,GA,11
Raœl,Grijalva,D,AZ,7
Jeb,Hensarling,R,TX,5
Steve,King,R,IA,5
John,Kline,R,MN,2
Mike,Michaud,D,ME,2
Brad,Miller,D,NC,13
Candice,Miller,R,MI,10
Tim,Murphy,R,PA,18
Devin,Nunes,R,CA,21
Mike,Rogers,R,AL,3
Dutch,Ruppersberger,D,MD,2
Tim,Ryan,D,OH,17
Linda,S‡nchez,D,CA,39
David,Scott,D,GA,13
Michael,Turner,R,OH,3
Chris,Hollen,D,MD,8
Randy,Neugebauer,R,TX,19
Ben,Chandler,D,KY,6
G.,Butterfield,D,NC,1
John,Barrow,D,GA,12
Dan,Boren,D,OK,2
Charles,Boustany,R,LA,7
Russ,Carnahan,D,MO,3
Emanuel,Cleaver,D,MO,5
Mike,Conaway,R,TX,11
Jim,Costa,D,CA,20
Henry,Cuellar,D,TX,28
Charlie,Dent,R,PA,15
Jeff,Fortenberry,R,NE,1
Virginia,Foxx,R,NC,5
Louie,Gohmert,R,TX,1
Al,Green,D,TX,9
Brian,Higgins,D,NY,27
Dan,Lipinski,D,IL,3
Mike,McCaul,R,TX,10
Patrick,McHenry,R,NC,10
Cathy,Rodgers,R,WA,5
Connie,Mack,R,FL,14
Kenny,Marchant,R,TX,24
Gwen,Moore,D,WI,4
Ted,Poe,R,TX,2
Tom,Price,R,GA,6
Dave,Reichert,R,WA,8
Allyson,Schwartz,D,PA,13
Debbie,Schultz,D,FL,20
Lynn,Westmoreland,R,GA,3
Doris,Matsui,D,CA,5
Jean,Schmidt,R,OH,2
John,Campbell,R,CA,48
Albio,Sires,D,NJ,13
Steve,Pearce,R,NM,2
Jason,Altmire,D,PA,4
Michele,Bachmann,R,MN,6
Gus,Bilirakis,R,FL,9
Bruce,Braley,D,IA,1
