Kelly	Kelly	N00030980	{"opensecrets_contributors":[{"org_name":"Elliott Management", "total":"95442"}, {"org_name":"NorPAC", "total":"44750"}, {"org_name":"FMR Corp", "total":"36600"}, {"org_name":"USAA", "total":"33247"}, {"org_name":"SAC Capital Advisors", "total":"29500"}, {"org_name":"Verizon Communications", "total":"26358"}, {"org_name":"Goldman Sachs", "total":"26042"}, {"org_name":"Blue Cross/Blue Shield", "total":"24250"}, {"org_name":"Liberty Mutual", "total":"23000"}, {"org_name":"Nextera Energy", "total":"22250"}]}
Mark	Mark	N00031177	{"opensecrets_contributors":[{"org_name":"National Mining Assn", "total":"17500"}, {"org_name":"Every Republican is Crucial PAC", "total":"15000"}, {"org_name":"Freedom Project", "total":"15000"}, {"org_name":"AT&T Inc", "total":"12500"}, {"org_name":"International Game Technology", "total":"12000"}, {"org_name":"Hartman & Hartman", "total":"11800"}, {"org_name":"American Bankers Assn", "total":"10000"}, {"org_name":"Credit Union National Assn", "total":"10000"}, {"org_name":"National Assn of Realtors", "total":"10000"}, {"org_name":"Las Vegas Sands", "total":"8000"}]}
Spencer	Spencer	N00008091	{"opensecrets_contributors":[{"org_name":"Credit Suisse Group", "total":"24700"}, {"org_name":"ACA International", "total":"20000"}, {"org_name":"Council of Insurance Agents & Brokers", "total":"20000"}, {"org_name":"Vulcan Materials", "total":"17450"}, {"org_name":"Balch & Bingham", "total":"15250"}, {"org_name":"J Hass Group", "total":"14400"}, {"org_name":"State Farm Insurance", "total":"14310"}, {"org_name":"Blue Cross/Blue Shield", "total":"13000"}, {"org_name":"Mortgage Bankers Assn", "total":"13000"}, {"org_name":"Deloitte LLP", "total":"12500"}]}
Roscoe	Roscoe	N00002017	{"opensecrets_contributors":[{"org_name":"Rogers Group", "total":"15000"}, {"org_name":"Loeb Partners", "total":"13000"}, {"org_name":"Northrop Grumman", "total":"11000"}, {"org_name":"General Dynamics", "total":"10500"}, {"org_name":"Citizens United", "total":"10000"}, {"org_name":"Freedom Project", "total":"10000"}, {"org_name":"General Electric", "total":"10000"}, {"org_name":"Honeywell International", "total":"10000"}, {"org_name":"National Assn of Realtors", "total":"9000"}, {"org_name":"Tuesday Group PAC", "total":"9000"}]}
Joe	Joe	N00005656	{"opensecrets_contributors":[{"org_name":"Oil City Iron Works", "total":"15000"}, {"org_name":"AT&T Inc", "total":"12700"}, {"org_name":"Exxon Mobil", "total":"12500"}, {"org_name":"Berkshire Hathaway", "total":"12000"}, {"org_name":"Martin Sprocket & Gear", "total":"11500"}, {"org_name":"Energy Future Holdings Corp", "total":"11200"}, {"org_name":"Nucor Corp", "total":"10550"}, {"org_name":"Exelon Corp", "total":"10500"}, {"org_name":"American Electric Power", "total":"10000"}, {"org_name":"Dallas Cowboys", "total":"10000"}]}
Charles	Charles	N00000423	{"opensecrets_contributors":[{"org_name":"Environmental Defense Fund", "total":"25831"}, {"org_name":"Blue Cross/Blue Shield", "total":"12000"}, {"org_name":"TRUST PAC", "total":"12000"}, {"org_name":"Altria Group", "total":"11000"}, {"org_name":"Corning Inc", "total":"11000"}, {"org_name":"Exelon Corp", "total":"11000"}, {"org_name":"United Technologies", "total":"11000"}, {"org_name":"BAE Systems", "total":"10250"}, {"org_name":"Alston & Bird", "total":"10000"}, {"org_name":"AT&T Inc", "total":"10000"}]}
Max	Max	N00004643	{"opensecrets_contributors":[{"org_name":"Aetna Inc", "total":"70750"}, {"org_name":"Express Scripts", "total":"55048"}, {"org_name":"Akin, Gump et al", "total":"52036"}, {"org_name":"KKR & Co", "total":"47000"}, {"org_name":"Schering-Plough Corp", "total":"44200"}, {"org_name":"Amgen Inc", "total":"42750"}, {"org_name":"Blue Cross/Blue Shield", "total":"39250"}, {"org_name":"UST Inc", "total":"37950"}, {"org_name":"K&L Gates", "total":"37900"}, {"org_name":"American Express", "total":"37300"}]}
Xavier	Xavier	N00009774	{"opensecrets_contributors":[{"org_name":"Alston & Bird", "total":"20500"}, {"org_name":"Fresenius Medical Care", "total":"19500"}, {"org_name":"Oaktree Capital Management", "total":"18500"}, {"org_name":"American College of Radiology", "total":"10000"}, {"org_name":"American Crystal Sugar", "total":"10000"}, {"org_name":"American Fedn of St/Cnty/Munic Employees", "total":"10000"}, {"org_name":"American Physical Therapy Assn", "total":"10000"}, {"org_name":"American Seniors Housing Assn", "total":"10000"}, {"org_name":"American Society/Therapeutic Radiology", "total":"10000"}, {"org_name":"Anheuser-Busch InBev", "total":"10000"}]}
Howard	Howard	N00008094	{"opensecrets_contributors":[{"org_name":"Comcast Corp", "total":"48360"}, {"org_name":"News Corp", "total":"44300"}, {"org_name":"National Amusements Inc", "total":"43000"}, {"org_name":"Walt Disney Co", "total":"34750"}, {"org_name":"Sony Corp", "total":"30000"}, {"org_name":"Time Warner", "total":"27000"}, {"org_name":"Akin, Gump et al", "total":"24401"}, {"org_name":"Mitchell, Silberberg & Knupp", "total":"21500"}, {"org_name":"Gibson, Dunn & Crutcher", "total":"20000"}, {"org_name":"Pandora Media", "total":"17500"}]}
Brian	Brian	N00006981	{"opensecrets_contributors":[{"org_name":"Millennium Laboratories", "total":"35000"}, {"org_name":"Luce Forward", "total":"12500"}, {"org_name":"General Atomics", "total":"11500"}, {"org_name":"Cognex Corp", "total":"11000"}, {"org_name":"Abbott Laboratories", "total":"10000"}, {"org_name":"American College of Radiology", "total":"10000"}, {"org_name":"American Health Care Assn", "total":"10000"}, {"org_name":"Associated General Contractors", "total":"10000"}, {"org_name":"Bluegrass Cmte", "total":"10000"}, {"org_name":"Deere & Co", "total":"10000"}]}
Jeff	Jeff	N00006518	{"opensecrets_contributors":[{"org_name":"State of New Mexico", "total":"8250"}, {"org_name":"Mirant Corp", "total":"7500"}, {"org_name":"Rodey Law Firm", "total":"7000"}, {"org_name":"SAIC Inc", "total":"6500"}, {"org_name":"Keleher & McLeod", "total":"5500"}, {"org_name":"PNM Resources", "total":"5500"}, {"org_name":"American Wind Energy Assn", "total":"5000"}, {"org_name":"Bass Brothers Enterprises", "total":"5000"}, {"org_name":"Berkshire Hathaway", "total":"5000"}, {"org_name":"Border Health", "total":"5000"}]}
Sanford	Sanford	N00002674	{"opensecrets_contributors":[{"org_name":"AFLAC Inc", "total":"19500"}, {"org_name":"American Crystal Sugar", "total":"10000"}, {"org_name":"American Fedn of St/Cnty/Munic Employees", "total":"10000"}, {"org_name":"Blue Dog PAC", "total":"10000"}, {"org_name":"Coca-Cola Co", "total":"10000"}, {"org_name":"Communications Workers of America", "total":"10000"}, {"org_name":"Intl Brotherhood of Electrical Workers", "total":"10000"}, {"org_name":"National Cotton Council", "total":"10000"}, {"org_name":"American Peanut Shellers Assn", "total":"9500"}, {"org_name":"General Dynamics", "total":"8000"}]}
Earl	Earl	N00007727	{"opensecrets_contributors":[{"org_name":"M Financial Group", "total":"15250"}, {"org_name":"Stacy & Witbeck", "total":"10800"}, {"org_name":"American Fedn of St/Cnty/Munic Employees", "total":"10000"}, {"org_name":"American Seniors Housing Assn", "total":"10000"}, {"org_name":"CSX Corp", "total":"10000"}, {"org_name":"Honeywell International", "total":"10000"}, {"org_name":"Intl Brotherhood of Electrical Workers", "total":"10000"}, {"org_name":"Swanson, Thomas & Coon", "total":"10000"}, {"org_name":"American Wind Energy Assn", "total":"9255"}, {"org_name":"Carroll Investments", "total":"7500"}]}
Roy	Roy	N00005195	{"opensecrets_contributors":[{"org_name":"Elliott Management", "total":"95642"}, {"org_name":"Crawford Group", "total":"92850"}, {"org_name":"Jones Financial Companies", "total":"78300"}, {"org_name":"Northwestern Mutual", "total":"76200"}, {"org_name":"Monsanto Co", "total":"74250"}, {"org_name":"Emerson", "total":"74150"}, {"org_name":"Goldman Sachs", "total":"63992"}, {"org_name":"Peabody Energy", "total":"61300"}, {"org_name":"Herzog Contracting", "total":"49400"}, {"org_name":"Blackstone Group", "total":"44100"}]}
John	John	N00003675	{"opensecrets_contributors":[{"org_name":"AT&T Inc", "total":"103450"}, {"org_name":"FirstEnergy Corp", "total":"80700"}, {"org_name":"Paulson & Co", "total":"76050"}, {"org_name":"Swisher International", "total":"60000"}, {"org_name":"American Electric Power", "total":"55400"}, {"org_name":"CME Group", "total":"54000"}, {"org_name":"Moore Capital Management", "total":"50500"}, {"org_name":"Blue Cross/Blue Shield", "total":"46400"}, {"org_name":"Cantor Fitzgerald", "total":"46000"}, {"org_name":"FMR Corp", "total":"43550"}]}
