Kelly	Kelly	N00030980	{"opensecrets_industries":[{"industry_name":"Securities & Investment", "indivs":"611462", "pacs":"27000", "total":"638462"}, {"industry_name":"Retired", "indivs":"365704", "pacs":"0", "total":"365704"}, {"industry_name":"Leadership PACs", "indivs":"4149", "pacs":"250650", "total":"254799"}, {"industry_name":"Insurance", "indivs":"105366", "pacs":"147500", "total":"252866"}, {"industry_name":"Lobbyists", "indivs":"245247", "pacs":"2000", "total":"247247"}, {"industry_name":"Lawyers/Law Firms", "indivs":"194664", "pacs":"29000", "total":"223664"}, {"industry_name":"Real Estate", "indivs":"165995", "pacs":"22810", "total":"188805"}, {"industry_name":"Misc Finance", "indivs":"130551", "pacs":"21500", "total":"152051"}, {"industry_name":"Oil & Gas", "indivs":"57718", "pacs":"84650", "total":"142368"}, {"industry_name":"Health Professionals", "indivs":"47950", "pacs":"84000", "total":"131950"}]}
Mark	Mark	N00031177	{"opensecrets_industries":[{"industry_name":"Leadership PACs", "indivs":"1000", "pacs":"98000", "total":"99000"}, {"industry_name":"Casinos/Gambling", "indivs":"45528", "pacs":"30500", "total":"76028"}, {"industry_name":"Lawyers/Law Firms", "indivs":"41265", "pacs":"12250", "total":"53515"}, {"industry_name":"Health Professionals", "indivs":"19250", "pacs":"31000", "total":"50250"}, {"industry_name":"Retired", "indivs":"43600", "pacs":"0", "total":"43600"}, {"industry_name":"General Contractors", "indivs":"18349", "pacs":"16500", "total":"34849"}, {"industry_name":"Mining", "indivs":"500", "pacs":"32500", "total":"33000"}, {"industry_name":"Lobbyists", "indivs":"28600", "pacs":"1500", "total":"30100"}, {"industry_name":"Oil & Gas", "indivs":"1500", "pacs":"27500", "total":"29000"}, {"industry_name":"Real Estate", "indivs":"9000", "pacs":"17500", "total":"26500"}]}
Spencer	Spencer	N00008091	{"opensecrets_industries":[{"industry_name":"Commercial Banks", "indivs":"91400", "pacs":"167000", "total":"258400"}, {"industry_name":"Securities & Investment", "indivs":"71677", "pacs":"169000", "total":"240677"}, {"industry_name":"Insurance", "indivs":"33960", "pacs":"191500", "total":"225460"}, {"industry_name":"Real Estate", "indivs":"98450", "pacs":"63500", "total":"161950"}, {"industry_name":"Finance/Credit Companies", "indivs":"24938", "pacs":"82000", "total":"106938"}, {"industry_name":"Misc Finance", "indivs":"53500", "pacs":"50000", "total":"103500"}, {"industry_name":"Lawyers/Law Firms", "indivs":"33384", "pacs":"68804", "total":"102188"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"76000", "total":"76000"}, {"industry_name":"Lobbyists", "indivs":"55800", "pacs":"0", "total":"55800"}, {"industry_name":"Accountants", "indivs":"13250", "pacs":"42000", "total":"55250"}]}
Roscoe	Roscoe	N00002017	{"opensecrets_industries":[{"industry_name":"Leadership PACs", "indivs":"0", "pacs":"65000", "total":"65000"}, {"industry_name":"Defense Aerospace", "indivs":"0", "pacs":"52100", "total":"52100"}, {"industry_name":"Retired", "indivs":"45700", "pacs":"0", "total":"45700"}, {"industry_name":"Misc Defense", "indivs":"7000", "pacs":"22000", "total":"29000"}, {"industry_name":"Lobbyists", "indivs":"27150", "pacs":"1000", "total":"28150"}, {"industry_name":"Republican/Conservative", "indivs":"2550", "pacs":"25025", "total":"27575"}, {"industry_name":"Lawyers/Law Firms", "indivs":"12500", "pacs":"12000", "total":"24500"}, {"industry_name":"Defense Electronics", "indivs":"500", "pacs":"21500", "total":"22000"}, {"industry_name":"Candidate Committees", "indivs":"0", "pacs":"21000", "total":"21000"}, {"industry_name":"Misc Business", "indivs":"16800", "pacs":"0", "total":"16800"}]}
Joe	Joe	N00005656	{"opensecrets_industries":[{"industry_name":"Oil & Gas", "indivs":"34150", "pacs":"88500", "total":"122650"}, {"industry_name":"Electric Utilities", "indivs":"8450", "pacs":"102000", "total":"110450"}, {"industry_name":"Health Professionals", "indivs":"26850", "pacs":"45500", "total":"72350"}, {"industry_name":"TV/Movies/Music", "indivs":"13000", "pacs":"27000", "total":"40000"}, {"industry_name":"Lawyers/Law Firms", "indivs":"7550", "pacs":"28750", "total":"36300"}, {"industry_name":"Misc Manufacturing & Distributing", "indivs":"30500", "pacs":"2000", "total":"32500"}, {"industry_name":"Retail Sales", "indivs":"19000", "pacs":"13000", "total":"32000"}, {"industry_name":"Pharmaceuticals/Health Products", "indivs":"1000", "pacs":"25500", "total":"26500"}, {"industry_name":"Misc Finance", "indivs":"23750", "pacs":"0", "total":"23750"}, {"industry_name":"Casinos/Gambling", "indivs":"11000", "pacs":"10976", "total":"21976"}]}
Charles	Charles	N00000423	{"opensecrets_industries":[{"industry_name":"Leadership PACs", "indivs":"0", "pacs":"133937", "total":"133937"}, {"industry_name":"Retired", "indivs":"64650", "pacs":"0", "total":"64650"}, {"industry_name":"Pharmaceuticals/Health Products", "indivs":"7000", "pacs":"42250", "total":"49250"}, {"industry_name":"Electric Utilities", "indivs":"500", "pacs":"44250", "total":"44750"}, {"industry_name":"Lawyers/Law Firms", "indivs":"20000", "pacs":"24666", "total":"44666"}, {"industry_name":"TV/Movies/Music", "indivs":"1000", "pacs":"36500", "total":"37500"}, {"industry_name":"Insurance", "indivs":"12250", "pacs":"22500", "total":"34750"}, {"industry_name":"Health Professionals", "indivs":"4750", "pacs":"29500", "total":"34250"}, {"industry_name":"Lobbyists", "indivs":"29833", "pacs":"3000", "total":"32833"}, {"industry_name":"Defense Aerospace", "indivs":"1250", "pacs":"30000", "total":"31250"}]}
Max	Max	N00004643	{"opensecrets_industries":[{"industry_name":"Securities & Investment", "indivs":"647669", "pacs":"172900", "total":"820569"}, {"industry_name":"Lawyers/Law Firms", "indivs":"430619", "pacs":"214978", "total":"645597"}, {"industry_name":"Insurance", "indivs":"226450", "pacs":"322450", "total":"548900"}, {"industry_name":"Health Professionals", "indivs":"137929", "pacs":"399500", "total":"537429"}, {"industry_name":"Lobbyists", "indivs":"510119", "pacs":"10925", "total":"521044"}, {"industry_name":"Pharmaceuticals/Health Products", "indivs":"171614", "pacs":"333018", "total":"504632"}, {"industry_name":"Health Services/HMOs", "indivs":"235698", "pacs":"246700", "total":"482398"}, {"industry_name":"Real Estate", "indivs":"371780", "pacs":"79950", "total":"451730"}, {"industry_name":"Hospitals/Nursing Homes", "indivs":"199668", "pacs":"202950", "total":"402618"}, {"industry_name":"Electric Utilities", "indivs":"25442", "pacs":"252700", "total":"278142"}]}
Xavier	Xavier	N00009774	{"opensecrets_industries":[{"industry_name":"Health Professionals", "indivs":"8500", "pacs":"136000", "total":"144500"}, {"industry_name":"Insurance", "indivs":"8500", "pacs":"76000", "total":"84500"}, {"industry_name":"Securities & Investment", "indivs":"44600", "pacs":"34500", "total":"79100"}, {"industry_name":"Health Services/HMOs", "indivs":"29173", "pacs":"39000", "total":"68173"}, {"industry_name":"Lawyers/Law Firms", "indivs":"31700", "pacs":"35785", "total":"67485"}, {"industry_name":"Real Estate", "indivs":"53924", "pacs":"13000", "total":"66924"}, {"industry_name":"TV/Movies/Music", "indivs":"20300", "pacs":"44000", "total":"64300"}, {"industry_name":"Hospitals/Nursing Homes", "indivs":"7300", "pacs":"50500", "total":"57800"}, {"industry_name":"Lobbyists", "indivs":"47755", "pacs":"1500", "total":"49255"}, {"industry_name":"Public Sector Unions", "indivs":"0", "pacs":"45500", "total":"45500"}]}
Howard	Howard	N00008094	{"opensecrets_industries":[{"industry_name":"TV/Movies/Music", "indivs":"331510", "pacs":"71250", "total":"402760"}, {"industry_name":"Lawyers/Law Firms", "indivs":"248650", "pacs":"42464", "total":"291114"}, {"industry_name":"Retired", "indivs":"176700", "pacs":"0", "total":"176700"}, {"industry_name":"Pro-Israel", "indivs":"147620", "pacs":"17500", "total":"165120"}, {"industry_name":"Real Estate", "indivs":"124250", "pacs":"1000", "total":"125250"}, {"industry_name":"Computers/Internet", "indivs":"59500", "pacs":"39650", "total":"99150"}, {"industry_name":"Securities & Investment", "indivs":"91750", "pacs":"5000", "total":"96750"}, {"industry_name":"Lobbyists", "indivs":"93943", "pacs":"2600", "total":"96543"}, {"industry_name":"Business Services", "indivs":"64250", "pacs":"1000", "total":"65250"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"62000", "total":"62000"}]}
Brian	Brian	N00006981	{"opensecrets_industries":[{"industry_name":"Pharmaceuticals/Health Products", "indivs":"19250", "pacs":"100000", "total":"119250"}, {"industry_name":"Retired", "indivs":"117700", "pacs":"0", "total":"117700"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"103500", "total":"103500"}, {"industry_name":"Real Estate", "indivs":"84350", "pacs":"8500", "total":"92850"}, {"industry_name":"Health Professionals", "indivs":"13750", "pacs":"47750", "total":"61500"}, {"industry_name":"Lobbyists", "indivs":"51000", "pacs":"1500", "total":"52500"}, {"industry_name":"Lawyers/Law Firms", "indivs":"27350", "pacs":"16000", "total":"43350"}, {"industry_name":"Computers/Internet", "indivs":"37250", "pacs":"5500", "total":"42750"}, {"industry_name":"Electric Utilities", "indivs":"2500", "pacs":"39000", "total":"41500"}, {"industry_name":"Oil & Gas", "indivs":"9000", "pacs":"29500", "total":"38500"}]}
