nickname	birthplace	money_raised	n_earmark_requested	n_vote_received	govtrack_id	n_bills_debated	amt_earmark_received	n_bills_enacted	amt_earmark_requested	wikipedia_url	pct_indiv	nominate	last_elected_year	pct_spent	pct_self	pct_pac	words_per_speech	bills_sponsored	religion	n_speeches	education	n_bills_introduced	pct_vote_received	n_bills_cosponsored	predictability	n_earmark_received
Duncan	"San Diego, CA"		17	123696	412283		28011500		33875000	http://en.wikipedia.org/wiki/Duncan_Hunter		0.548	2006					[]			"BBA, San Diego State University."		65		0.882353	16
George					407705													[]								
Allyson	"Queens, NY"	1941575	21	147368	400647	0	15399600	0	18696000	http://en.wikipedia.org/wiki/Allyson_Schwartz	0.663632	-0.358	2006	0.32504	0	0.312092	677	"[""http://watchdog.net/b/us/109/h1352#it"",""http://watchdog.net/b/us/109/h1861#it"",""http://watchdog.net/b/us/109/h4645#it"",""http://watchdog.net/b/us/109/h4998#it"",""http://watchdog.net/b/us/109/hr421#it"",""http://watchdog.net/b/us/110/h1099#it"",""http://watchdog.net/b/us/110/h2307#it"",""http://watchdog.net/b/us/110/h2842#it"",""http://watchdog.net/b/us/110/h3037#it"",""http://watchdog.net/b/us/110/h3264#it"",""http://watchdog.net/b/us/110/h3770#it"",""http://watchdog.net/b/us/110/h4266#it"",""http://watchdog.net/b/us/110/h4267#it"",""http://watchdog.net/b/us/110/h4296#it"",""http://watchdog.net/b/us/110/h4519#it"",""http://watchdog.net/b/us/110/h539#it"",""http://watchdog.net/b/us/110/h5952#it"",""http://watchdog.net/b/us/110/h6826#it"",""http://watchdog.net/b/us/110/h7191#it"",""http://watchdog.net/b/us/110/h7192#it"",""http://watchdog.net/b/us/110/h898#it"",""http://watchdog.net/b/us/110/hc421#it"",""http://watchdog.net/b/us/110/hr1294#it"",""http://watchdog.net/b/us/110/hr1348#it"",""http://watchdog.net/b/us/110/hr507#it"",""http://watchdog.net/b/us/110/hr513#it""]"	Jewish	5	"MSS, Bryn Mawr College of Social Work and Social Research, 1972; BA, Sociology, Simmons College, 1970."	20	66	538	0.968615	19
Lynn	"Atlanta, GA"	409347	12	130428	400627	2	4976000	2	7579000	http://en.wikipedia.org/wiki/Lynn_Westmoreland	0.568102	0.816	2006	0.878028	0	0.426899	700	"[""http://watchdog.net/b/us/109/hr991#it"",""http://watchdog.net/b/us/110/h2309#it"",""http://watchdog.net/b/us/110/h3229#it"",""http://watchdog.net/b/us/110/h3492#it"",""http://watchdog.net/b/us/110/hr375#it""]"	Baptist	10	"Diploma, Therrel High School, 1968."	3	68	385	0.957882	11
Devin	"Tulare County, CA"	837211	7	95214	400297	6	13940100	2	20168600	http://en.wikipedia.org/wiki/Devin_Nunes	0.534568	0.546	2006	0.33799	0	0.465432	1016	"[""http://watchdog.net/b/us/108/h1650#it"",""http://watchdog.net/b/us/108/h1659#it"",""http://watchdog.net/b/us/108/h2471#it"",""http://watchdog.net/b/us/108/h309#it"",""http://watchdog.net/b/us/108/h3467#it"",""http://watchdog.net/b/us/108/h3932#it"",""http://watchdog.net/b/us/108/h4044#it"",""http://watchdog.net/b/us/108/h4223#it"",""http://watchdog.net/b/us/108/h4508#it"",""http://watchdog.net/b/us/108/h4581#it"",""http://watchdog.net/b/us/108/h4817#it"",""http://watchdog.net/b/us/108/hr688#it"",""http://watchdog.net/b/us/109/h1851#it"",""http://watchdog.net/b/us/109/h2383#it"",""http://watchdog.net/b/us/109/h3691#it"",""http://watchdog.net/b/us/109/h4015#it"",""http://watchdog.net/b/us/109/h4281#it"",""http://watchdog.net/b/us/109/h5509#it"",""http://watchdog.net/b/us/109/h5760#it"",""http://watchdog.net/b/us/109/h5890#it"",""http://watchdog.net/b/us/109/h6295#it"",""http://watchdog.net/b/us/109/h6431#it"",""http://watchdog.net/b/us/109/h99#it"",""http://watchdog.net/b/us/109/hr45#it"",""http://watchdog.net/b/us/110/h1706#it"",""http://watchdog.net/b/us/110/h2305#it"",""http://watchdog.net/b/us/110/h2535#it"",""http://watchdog.net/b/us/110/h3069#it"",""http://watchdog.net/b/us/110/h3300#it"",""http://watchdog.net/b/us/110/h3767#it"",""http://watchdog.net/b/us/110/h3768#it"",""http://watchdog.net/b/us/110/h5538#it"",""http://watchdog.net/b/us/110/h5539#it"",""http://watchdog.net/b/us/110/h5825#it"",""http://watchdog.net/b/us/110/h6994#it"",""http://watchdog.net/b/us/110/h925#it"",""http://watchdog.net/b/us/110/hr1327#it"",""http://watchdog.net/b/us/110/hr1438#it""]"	Roman Catholic	2	"MS, Agriculture, California Polytechnic State University, San Luis Obispo, 1996; BS, Agricultural Business, California Polytechnic State University, San Luis Obispo, 1995; AA, Agriculture, College of the Sequoias, 1993."	34	67	351	0.919553	7
Tom					412295					http://en.wikipedia.org/wiki/Tom_McClintock								[]			"BA, Political Science, University of California, Los Angeles, 1978."					
Michael	"Millinocket, ME"	535681	25	179732	400274	6	16062000	0	20805000	http://en.wikipedia.org/wiki/Mike_Michaud	0.261764	-0.374	2006	0.368262	0	0.734206	1720	"[""http://watchdog.net/b/us/108/h1142#it"",""http://watchdog.net/b/us/108/h1694#it"",""http://watchdog.net/b/us/108/h1750#it"",""http://watchdog.net/b/us/108/h2294#it"",""http://watchdog.net/b/us/108/h2511#it"",""http://watchdog.net/b/us/108/h2611#it"",""http://watchdog.net/b/us/108/h2612#it"",""http://watchdog.net/b/us/108/h2721#it"",""http://watchdog.net/b/us/108/h2879#it"",""http://watchdog.net/b/us/108/h3010#it"",""http://watchdog.net/b/us/108/h3239#it"",""http://watchdog.net/b/us/108/h3448#it"",""http://watchdog.net/b/us/108/h4173#it"",""http://watchdog.net/b/us/108/h4739#it"",""http://watchdog.net/b/us/108/h4803#it"",""http://watchdog.net/b/us/108/h4804#it"",""http://watchdog.net/b/us/108/h4976#it"",""http://watchdog.net/b/us/108/h5030#it"",""http://watchdog.net/b/us/108/hj91#it"",""http://watchdog.net/b/us/108/hj85#it"",""http://watchdog.net/b/us/108/hr232#it"",""http://watchdog.net/b/us/108/hr346#it"",""http://watchdog.net/b/us/109/h1012#it"",""http://watchdog.net/b/us/109/h1573#it"",""http://watchdog.net/b/us/109/h1655#it"",""http://watchdog.net/b/us/109/h1695#it"",""http://watchdog.net/b/us/109/h2635#it"",""http://watchdog.net/b/us/109/h2692#it"",""http://watchdog.net/b/us/109/h3480#it"",""http://watchdog.net/b/us/109/h3579#it"",""http://watchdog.net/b/us/109/h3713#it"",""http://watchdog.net/b/us/109/h4046#it"",""http://watchdog.net/b/us/109/h4879#it"",""http://watchdog.net/b/us/109/h5524#it"",""http://watchdog.net/b/us/109/h5960#it"",""http://watchdog.net/b/us/109/h6050#it"",""http://watchdog.net/b/us/109/h717#it"",""http://watchdog.net/b/us/109/h821#it"",""http://watchdog.net/b/us/109/hj25#it"",""http://watchdog.net/b/us/109/hr433#it"",""http://watchdog.net/b/us/109/hr694#it"",""http://watchdog.net/b/us/110/h1607#it"",""http://watchdog.net/b/us/110/h1824#it"",""http://watchdog.net/b/us/110/h1910#it"",""http://watchdog.net/b/us/110/h1992#it"",""http://watchdog.net/b/us/110/h2064#it"",""http://watchdog.net/b/us/110/h2251#it"",""http://watchdog.net/b/us/110/h2263#it"",""http://watchdog.net/b/us/110/h2475#it"",""http://watchdog.net/b/us/110/h2874#it"",""http://watchdog.net/b/us/110/h4124#it"",""http://watchdog.net/b/us/110/h5554#it"",""http://watchdog.net/b/us/110/h5856#it"",""http://watchdog.net/b/us/110/h6180#it"",""http://watchdog.net/b/us/110/h6429#it"",""http://watchdog.net/b/us/110/h7101#it"",""http://watchdog.net/b/us/110/h7314#it"",""http://watchdog.net/b/us/110/h2199#it""]"	Catholic	3	"Doctor of Public Service, Unity College, 1989; Diploma, Schenck High School, 1973; Attended, Senior Executives Program, John F. Kennedy School of Government, Harvard University."	51	71	1161	0.950604	23
Kurt	"Bridgeport, CT"				412315					http://en.wikipedia.org/wiki/Kurt_Schrader								[]			"DVM, University of Illinois, 1977; BS, University of Illinois, 1975; BA, Cornell University, 1973."					
John	"Colorado Springs, CO"	1712964	37	181946	400110	24	33039100	9	68051100	http://en.wikipedia.org/wiki/John_Dingell	0.265767	-0.433	2006	0.517341	0	0.71231	913	"[""http://watchdog.net/b/us/108/h1124#it"",""http://watchdog.net/b/us/108/h1184#it"",""http://watchdog.net/b/us/108/h1272#it"",""http://watchdog.net/b/us/108/h15#it"",""http://watchdog.net/b/us/108/h2000#it"",""http://watchdog.net/b/us/108/h2209#it"",""http://watchdog.net/b/us/108/h2793#it"",""http://watchdog.net/b/us/108/h3004#it"",""http://watchdog.net/b/us/108/h3269#it"",""http://watchdog.net/b/us/108/h3835#it"",""http://watchdog.net/b/us/108/h3940#it"",""http://watchdog.net/b/us/108/h411#it"",""http://watchdog.net/b/us/108/h4350#it"",""http://watchdog.net/b/us/108/h4437#it"",""http://watchdog.net/b/us/108/h4555#it"",""http://watchdog.net/b/us/108/h4628#it"",""http://watchdog.net/b/us/108/h4666#it"",""http://watchdog.net/b/us/108/h4935#it"",""http://watchdog.net/b/us/108/h4936#it"",""http://watchdog.net/b/us/108/h5428#it"",""http://watchdog.net/b/us/108/hj5#it"",""http://watchdog.net/b/us/108/hr480#it"",""http://watchdog.net/b/us/108/hr702#it"",""http://watchdog.net/b/us/108/hr708#it"",""http://watchdog.net/b/us/108/hr746#it"",""http://watchdog.net/b/us/108/hr745#it"",""http://watchdog.net/b/us/109/h1301#it"",""http://watchdog.net/b/us/109/h15#it"",""http://watchdog.net/b/us/109/h2071#it"",""http://watchdog.net/b/us/109/h2259#it"",""http://watchdog.net/b/us/109/h3157#it"",""http://watchdog.net/b/us/109/h3335#it"",""http://watchdog.net/b/us/109/h3656#it"",""http://watchdog.net/b/us/109/h3698#it"",""http://watchdog.net/b/us/109/h3980#it"",""http://watchdog.net/b/us/109/h4556#it"",""http://watchdog.net/b/us/109/h4683#it"",""http://watchdog.net/b/us/109/h4685#it"",""http://watchdog.net/b/us/109/h4719#it"",""http://watchdog.net/b/us/109/h5084#it"",""http://watchdog.net/b/us/109/h5132#it"",""http://watchdog.net/b/us/109/h5133#it"",""http://watchdog.net/b/us/109/h5415#it"",""http://watchdog.net/b/us/109/h5834#it"",""http://watchdog.net/b/us/109/h5828#it"",""http://watchdog.net/b/us/109/h5916#it"",""http://watchdog.net/b/us/109/h757#it"",""http://watchdog.net/b/us/109/h878#it"",""http://watchdog.net/b/us/109/h879#it"",""http://watchdog.net/b/us/109/hc213#it"",""http://watchdog.net/b/us/109/hr366#it"",""http://watchdog.net/b/us/109/hr452#it"",""http://watchdog.net/b/us/109/hr459#it"",""http://watchdog.net/b/us/109/hr904#it"",""http://watchdog.net/b/us/110/h2923#it"",""http://watchdog.net/b/us/110/h3048#it"",""http://watchdog.net/b/us/110/h338#it"",""http://watchdog.net/b/us/110/h3610#it"",""http://watchdog.net/b/us/110/h3668#it"",""http://watchdog.net/b/us/110/h3914#it"",""http://watchdog.net/b/us/110/h3938#it"",""http://watchdog.net/b/us/110/h4115#it"",""http://watchdog.net/b/us/110/h518#it"",""http://watchdog.net/b/us/110/h5613#it"",""http://watchdog.net/b/us/110/h6357#it"",""http://watchdog.net/b/us/110/h6238#it"",""http://watchdog.net/b/us/110/h6470#it"",""http://watchdog.net/b/us/110/h669#it"",""http://watchdog.net/b/us/110/h6729#it"",""http://watchdog.net/b/us/110/h6946#it"",""http://watchdog.net/b/us/110/h7077#it"",""http://watchdog.net/b/us/110/hc217#it"",""http://watchdog.net/b/us/110/hr207#it"",""http://watchdog.net/b/us/110/hr4#it"",""http://watchdog.net/b/us/111/hr4#it"",""http://watchdog.net/b/us/110/h936#it"",""http://watchdog.net/b/us/110/h4#it"",""http://watchdog.net/b/us/110/h1781#it"",""http://watchdog.net/b/us/110/h1017#it"",""http://watchdog.net/b/us/110/h2900#it"",""http://watchdog.net/b/us/110/h3963#it"",""http://watchdog.net/b/us/110/h3162#it"",""http://watchdog.net/b/us/110/h1535#it"",""http://watchdog.net/b/us/110/h15#it"",""http://watchdog.net/b/us/110/h2034#it"",""http://watchdog.net/b/us/110/h3580#it""]"	Catholic	9	"JD, Georgetown University Law School, 1952; BS, Chemistry, Georgetown University, 1949."	149	88	1175	0.949495	36
Michael	"Walnut Creek, CA"	707831	41	115532	400185	1	33990720	1	36196500	http://en.wikipedia.org/wiki/Mike_Honda	0.636925	-0.593	2006	0.833148	0	0.33525	679	"[""http://watchdog.net/b/us/108/h1611#it"",""http://watchdog.net/b/us/108/h283#it"",""http://watchdog.net/b/us/108/h2773#it"",""http://watchdog.net/b/us/108/h3578#it"",""http://watchdog.net/b/us/108/h363#it"",""http://watchdog.net/b/us/108/h4398#it"",""http://watchdog.net/b/us/108/h4656#it"",""http://watchdog.net/b/us/108/h4954#it"",""http://watchdog.net/b/us/108/h5321#it"",""http://watchdog.net/b/us/108/h5402#it"",""http://watchdog.net/b/us/108/hj45#it"",""http://watchdog.net/b/us/108/hr236#it"",""http://watchdog.net/b/us/108/hr382#it"",""http://watchdog.net/b/us/108/hr475#it"",""http://watchdog.net/b/us/108/hr56#it"",""http://watchdog.net/b/us/109/h1491#it"",""http://watchdog.net/b/us/109/h1914#it"",""http://watchdog.net/b/us/109/h2966#it"",""http://watchdog.net/b/us/109/h3475#it"",""http://watchdog.net/b/us/109/h3560#it"",""http://watchdog.net/b/us/109/h3561#it"",""http://watchdog.net/b/us/109/h5477#it"",""http://watchdog.net/b/us/109/h5498#it"",""http://watchdog.net/b/us/109/h551#it"",""http://watchdog.net/b/us/109/h935#it"",""http://watchdog.net/b/us/109/h936#it"",""http://watchdog.net/b/us/109/hr1048#it"",""http://watchdog.net/b/us/109/hr1069#it"",""http://watchdog.net/b/us/110/h1346#it"",""http://watchdog.net/b/us/110/h1397#it"",""http://watchdog.net/b/us/110/h1492#it"",""http://watchdog.net/b/us/110/h1728#it"",""http://watchdog.net/b/us/110/h3235#it"",""http://watchdog.net/b/us/110/h3727#it"",""http://watchdog.net/b/us/110/h3944#it"",""http://watchdog.net/b/us/110/h4146#it"",""http://watchdog.net/b/us/110/h4173#it"",""http://watchdog.net/b/us/110/h6104#it"",""http://watchdog.net/b/us/110/h6558#it"",""http://watchdog.net/b/us/110/h6617#it"",""http://watchdog.net/b/us/110/h6938#it"",""http://watchdog.net/b/us/110/h7203#it"",""http://watchdog.net/b/us/110/hr1192#it"",""http://watchdog.net/b/us/110/hr121#it"",""http://watchdog.net/b/us/110/hr122#it"",""http://watchdog.net/b/us/110/hr365#it"",""http://watchdog.net/b/us/110/hr366#it"",""http://watchdog.net/b/us/110/hr415#it"",""http://watchdog.net/b/us/110/hr550#it"",""http://watchdog.net/b/us/110/hr735#it""]"	Protestant	4	"MA, Education, San Jose State University, 1974; BS, Biological Sciences/Spanish, San Jose State University, 1968."	38	72	1708	0.974011	40
